dataset,min_task_num,max_task_num,eval_min,eval_max,model,hidden_size,rl_ratio,trace_decay,num_epoch,batch_size,lr,wd,early_stop,is_test,log_time,lsd,lmd,krc,hr@1,hr@2,hr@3,hr@4,hr@5,hr@6,hr@7,hr@8,hr@9,hr@10,ed,acc@1,acc@2,acc@3,acc@4,acc@5,acc@6,acc@7,acc@8,acc@9,acc@10
logistics,0,25,1,11,DRL4Route_REINFORCE,64,0.3,0.99,60,64,0.001,1e-05,9,False,16:22:40,5.059750996358139,1.3086262896211878,0.5848698804810336,0.564625850340136,0.6454081632653061,0.6882086167800454,0.7137188208616779,0.7286848072562357,0.741609977324263,0.7491415613864593,0.7566124068675089,0.7639820213799805,0.7681581362703811,1.8860544217687074,0.564625850340136,0.391156462585034,0.33843537414965985,0.32482993197278914,0.3197278911564626,0.3197278911564626,0.3197278911564626,0.3197278911564626,0.3197278911564626,0.3197278911564626
logistics,0,25,1,25,DRL4Route_REINFORCE,64,0.3,0.99,60,64,0.001,1e-05,9,False,16:22:40,6.721911981414207,1.5306185302609283,0.5559749681440308,0.5436447166921899,0.6286370597243491,0.6768759571209801,0.7001020929045432,0.7158754466564573,0.7315977539561,0.7428279734558447,0.750785750747466,0.7595699944091981,0.7659678164272344,2.8162327718223583,0.5436447166921899,0.3660030627871363,0.3124042879019908,0.29555895865237364,0.2879019908116386,0.2879019908116386,0.2879019908116386,0.2879019908116386,0.2879019908116386,0.2879019908116386
