dataset,min_task_num,max_task_num,eval_min,eval_max,model,hidden_size,rl_ratio,trace_decay,num_epoch,batch_size,lr,wd,early_stop,is_test,log_time,lsd,lmd,krc,hr@1,hr@2,hr@3,hr@4,hr@5,hr@6,hr@7,hr@8,hr@9,hr@10,ed,acc@1,acc@2,acc@3,acc@4,acc@5,acc@6,acc@7,acc@8,acc@9,acc@10
logistics,0,25,1,11,DRL4Route_REINFORCE_GAE,64,0.3,0.99,60,64,0.001,1e-05,9,False,16:22:53,5.378049383534077,1.3446681955610527,0.5666112513462118,0.5595238095238095,0.6318027210884354,0.6788548752834467,0.7042233560090703,0.72437641723356,0.7369047619047618,0.745408163265306,0.752089407191448,0.7593172983479106,0.7638713421876687,1.8945578231292517,0.5595238095238095,0.38605442176870747,0.336734693877551,0.32482993197278914,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.32142857142857145,0.32142857142857145
logistics,0,25,1,25,DRL4Route_REINFORCE_GAE,64,0.3,0.99,60,64,0.001,1e-05,9,False,16:22:53,7.007788675988436,1.564785815613266,0.5390662743394057,0.539050535987749,0.6156202143950995,0.6674323634507402,0.6923175089331292,0.7132210311383357,0.7278713629402757,0.7381535768978342,0.7467129730912273,0.75502929094047,0.7616483142516833,2.828483920367535,0.539050535987749,0.3614088820826952,0.3108728943338438,0.29555895865237364,0.2894333843797856,0.2894333843797856,0.2894333843797856,0.2894333843797856,0.2894333843797856,0.2894333843797856
